"S.No,TAHSIL_NAME,Site Name,LATITUDE,LONGITUDE,Nitrate_mg_per_L"
"1,Ramtek,Amgaon,21.3889,79.3483,3.1"
"2,Ramtek,Amgaon PYT,21.3889,79.3483,1.24"
"3,Ramtek,Wadamba EW Drilling,21.6053,79.3803,24.8"
"4,Ramtek,Wadamba EW PYT,21.6053,79.3803,9.92"
"5,Ramtek,Wadamba EW Drilling,21.6053,79.3803,6.82"
"6,Ramtek,Wadamba EW PYT,21.6053,79.3803,18.6"
"7,Ramtek,Borda EW PYT 1,21.4439,79.2797,16.74"
"8,Ramtek,Borda EW PYT 2,21.4439,79.2797,24.8"
"9,Ramtek,Borda EW Drilling,21.4439,79.2797,24.8"
"10,Ramtek,Borda OW PYT,21.4439,79.2797,4.96"
"11,Ramtek,Chichala EW Drilling,21.3483,79.3428,31"
"12,Ramtek,Wadamba Ugwell 1,21.6050,79.3811,31"
"13,Ramtek,Wadamba Ugwell 2,21.6039,79.3814,31"
"14,Mauda,Tarsha Dugwell 1,21.2286,79.3814,24.8"
"15,Mauda,Tarsha Dugwell 2,21.2331,79.3786,43.4"
"16,Mauda,Tarsha HandPump,21.2281,79.3811,42.16"
"17,Parseoni,Nayakund Dugwell 1,21.3653,79.1947,43.4"
"18,Parseoni,Nayakund Dugwell 2,21.3667,79.2011,13.02"
"19,Parseoni,Nayakund HandPump,21.3694,79.1961,31"
"20,Kamptee,GumthalaDugwell 1,21.1375,79.2836,38.44"
"21,Kamptee,GumthalaDugwell 2,21.1406,79.2856,31"
"22,Savner,NandagomukhDugwell 1,21.4306,78.7753,24.8"
"23,Savner,NandagomukhDugwell 2,21.4211,78.7700,49.6"
"24,Savner,NandagomukhHandPump,21.4175,78.7694,24.8"
"25,Bhiwapur,Mandawa,20.7515,79.2587,23"
"26,Hingna,khairi Pannase,21.0977,78.9331,83"
"27,Kuhi,Salwa,21.0497,79.4444,11"
"28,KUHI,ADAM,20.9977,79.4521,9"
"29,BHIWAPUR,ADYAL (PU),20.8030,79.5158,2"
"30,MOUDA,AROU,21.3228,79.4494,12"
"31,MOUDA,AROU,21.1694,79.0367,3"
"32,BHIWAPUR,BESUR,20.6936,79.2660,9"
"33,BHIWAPUR,BESUR,21.0458,78.7250,15"
"34,MOUDA,CHACHER,21.2831,79.3372,114"
"35,MOUDA,CHACHER,21.0861,79.1675,286"
"36,HINGNA,KANHOILBA,21.2394,78.8686,6"
"37,SAONER,RA,21.4633,78.8792,"
"38,SAONER,KELWAD,20.8500,79.3250,16"
"39,NAGPUR RURAL,WATHODA,21.2825,78.8389,49"
"40,KUHI,WELTUR,21.1597,79.4500,65"
"41,BHIWAPUR,ZAMKOLI,21.0194,78.9917,170"
"42,NAGPUR RURAL,BAHADURA,21.0861,79.1675,102"
"43,Katol,Ladgaon Ow-I,21.2269,78.5644,51"
"44,Katol,Maragsur-EW,21.2073,78.7071,48"
"45,Katol,Ladgaon Ew-I,21.2269,78.5644,33"
"46,Katol,Khangaon Z-Low,21.2942,78.5467,24"
"47,Katol,Metpaniya-EW,21.2583,78.7000,16"
"48,Katol,Narkhed PZ,21.3381,78.5381,12"
"49,Katol,Khangaon Ew,21.2942,78.5467,11"
"50,Katol,Dorli-OW,21.2667,78.7833,1.4"
"51,Narkhed,Lohari Sawanga-PYT,21.2600,78.4044,BDL"
"52,Narkhed,Sawargaon Ew,21.4008,78.6342,51"
"53,Narkhed,Koril Ew,21.4394,78.5822,48"
"54,Narkhed,Manikwada Z-III Ew,21.4969,78.4997,48"
"55,Narkhed,Manikwada Z-II Ew,21.4969,78.4997,47"
"56,Narkhed,Jamgaon Kh.-EW,21.3381,78.4367,46.32"
"57,Narkhed,Manikwada Ew PYT,21.4969,78.4997,45"
"58,Narkhed,Narkhed-OW,21.4722,78.5292,44"
"59,Narkhed,Manikwada Z-I Ew,21.4969,78.4997,38"
"60,Narkhed,Arambih-EW,21.2694,78.3486,32"
"61,Narkhed,Arambih,21.2694,78.3486,24.3"
"62,Narkhed,Jamgaon Kh.-EW PYT,21.3381,78.4367,20.6"
"63,Narkhed,Arambih,21.2694,78.3486,20"
"64,Narkhed,Khedi Ew,21.4589,78.6444,16"
"65,Narkhed,Arambih-EW,21.2694,78.3486,7.8"
"66,Narkhed,Thirheda-EW PYT,21.4033,78.4903,2.55"
"67,Narkhed,Belona-EW PYT,21.4833,78.4864,0.75"
"68,Narkhed,Wadvihra-EW,21.3472,78.3986,0"
"69,Katol,Sonkhamh,21.2723,78.7225,11"
"70,Katol,Ramgiri,21.3001,78.7575,65"
"71,Katol,Malegaon,21.3078,78.7183,42"
"72,Kalmeshwar,Kohli,21.2653,78.8094,44"
"73,Kalmeshwar,Dahegaon,21.2163,78.9456,28"
"74,Kalmeshwar,Khapri,21.2397,78.8408,21"
"75,Kalmeshwar,Mohgaon,21.2965,78.8475,21"
"76,Savner,Dhapewada,21.3033,78.9050,32"
"77,Mauda,Gowri,21.2686,78.9497,1"
"78,Kalmeshwar,Khairi,21.2528,78.9517,31"
"79,Katol,Rauigaon,21.2376,78.7831,46"
"80,Kalmeshwar,Waroda,21.2636,78.9047,39.1"
"81,NAGPUR RURAL,Salai Godhani,21.0093,79.1203,25.42"
"82,Kuhi,Dhanoli,21.0418,79.2645,14.26"
"83,Hingna,Sukali Gharaqure,20.9829,78.9473,19.84"
"84,Bhiwapur,Mandwa,20.7515,79.2587,3.1"
"85,Kuhi,khairi Pannase (dw),21.0977,78.9331,93"
